;Title, http://www.gcdataconcepts.com, x2-2,Kionix KXRB5-2050
;Version, 1102, Build date, Oct  6 2015,  SN:CCDC10023F56AE8
;Start_time, 2018-02-09, 08:21:42.830
;Temperature, -999.00, deg C,  Vbat, 4222, mv
;Gain, high
;SampleRate, 64,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
0.337310,-20,-190,-13022
0.352935,0,-29,-13081
0.368560,-61,-233,-13244
0.384185,-156,-650,-13211
0.399810,-122,-443,-13285
0.415435,-111,-293,-13372
0.431060,-183,-399,-13240
0.462310,-227,-406,-13213
0.477935,-231,-375,-13267
0.493560,-209,-345,-13281
0.509185,-195,-418,-13315
0.524810,-167,-502,-13329
0.540435,-88,-240,-13124
0.556060,-104,-327,-13120
0.571685,-318,-559,-13540
0.587310,-390,296,-13526
0.602935,-220,423,-13220
0.618560,-17,-92,-12812
0.634185,24,119,-12403
0.649810,16,23,-12669
0.665435,162,-259,-13069
0.681060,126,-381,-13399
0.696685,-83,-434,-13692
0.712310,-136,-333,-13552
0.727935,-90,-175,-13188
0.743560,58,-11,-12663
0.759185,153,-29,-12620
0.774810,-40,-295,-13199
0.790435,-208,-518,-13515
0.806060,-284,-543,-14056
0.821685,-574,-361,-14370
0.837310,-615,-174,-13565
0.852935,-127,178,-12745
0.868560,23,453,-12129
0.884185,-42,-279,-12124
0.899810,228,-408,-12731
0.915435,249,91,-13299
0.931060,76,-484,-13911
0.946685,-61,-638,-13949
0.962310,-320,-268,-13701
0.977935,-295,-134,-13272
0.993560,132,83,-12742
1.009185,28,62,-12622
1.024810,-202,-125,-12828
1.040435,139,-240,-13135
1.056060,23,-331,-13358
1.071685,-206,-300,-13567
1.087188,-138,-181,-13485
1.102813,-272,-127,-13304
1.118438,-224,-92,-13136
1.134063,53,-79,-13026
1.149688,-13,-161,-13049
1.165313,-131,-240,-13147
1.180938,58,-258,-13244
1.196563,10,-215,-13095
1.212188,-61,-100,-13042
1.227813,12,-75,-12978
1.243438,-65,-229,-13179
1.259063,-195,-386,-13774
1.274688,-342,-413,-13892
1.290313,-231,-274,-13590
1.305938,30,-40,-12978
1.321563,-84,192,-12331
1.337188,-192,299,-12365
1.352813,0,-124,-12824
1.368438,-75,-425,-13395
1.384063,-297,-172,-13845
1.399688,-202,-411,-13790
1.415313,-40,-554,-13345
1.430938,66,-327,-12865
1.446563,153,-347,-12717
1.462188,53,-304,-12974
1.477813,-134,-392,-13333
1.493438,-218,-452,-13570
1.509063,-233,-268,-13636
1.524688,-238,-367,-13390
1.540313,-177,-33,-13185
1.555938,-172,-349,-13660
1.571563,-309,-1377,-13640
1.587188,-111,176,-12979
1.602813,76,1082,-12658
1.618438,-113,-25,-12431
1.634063,41,21,-12640
1.649688,78,-65,-13063
1.665313,-134,-481,-13519
1.680938,-67,-468,-13817
1.696563,-145,-404,-13704
1.712188,-274,-231,-13378
1.727813,-81,19,-12917
1.743438,48,103,-12701
1.759063,-92,1,-12779
1.774688,-104,-147,-13133
1.790313,-84,-333,-13428
1.805938,-84,-406,-13561
1.821563,-81,-329,-13588
1.837188,-174,-156,-13178
1.852813,-122,167,-12653
1.868438,1,216,-12576
1.884063,24,-222,-12920
1.899688,-50,-154,-13420
1.915313,-150,8,-13813
1.930938,-181,-463,-13660
1.946563,-149,-497,-13144
1.962188,-129,-202,-12822
1.977813,-136,-149,-12892
1.993438,-136,-275,-13333
2.009063,-115,-454,-13638
2.024688,-50,-420,-13465
2.040313,5,-234,-13126
2.055938,-45,-86,-12951
2.071563,-158,-52,-12970
2.087188,-225,-74,-13072
2.102813,-234,-131,-13213
2.118438,-192,-243,-13360
2.134063,-113,-358,-13449
2.149688,-50,-408,-13433
2.165313,-6,-320,-13206
2.180938,-11,-170,-13003
2.196563,-108,-134,-13117
2.212188,-204,-165,-13294
2.227813,-229,-179,-13315
2.243438,-168,-197,-13204
2.259063,-95,-211,-13153
2.274688,-70,-204,-13151
2.290313,-54,-183,-13060
2.305938,-104,-145,-13135
2.321563,-195,-117,-13269
2.337188,-192,-125,-13204
2.352813,-150,-174,-13201
2.368438,-84,-227,-13245
2.384063,-2,-256,-13194
2.399688,-36,-243,-13161
2.415313,-49,-225,-13119
2.430938,-33,-104,-13063
2.446563,-131,-43,-13103
2.462188,-218,-252,-13203
2.477813,-190,105,-13351
2.493438,-92,-604,-13379
2.509063,-100,-1450,-13276
2.524688,-172,491,-13186
2.540313,-140,783,-12990
2.555938,-56,-400,-12931
2.571563,-47,-58,-13083
2.587188,-88,-102,-13215
2.602813,-86,-322,-13374
2.618438,-93,-256,-13451
2.634063,-100,-238,-13313
2.649688,-49,-161,-13145
2.665313,-65,-88,-13060
2.680938,-108,-72,-12994
2.696563,-49,-115,-13060
2.712188,-81,-190,-13245
2.727813,-124,-265,-13372
2.743438,-75,-272,-13390
2.759063,-122,-217,-13301
2.774688,-113,-133,-13149
2.790313,-47,-68,-13049
2.805938,-108,-81,-13003
2.821563,-95,-133,-13117
2.837188,-54,-195,-13260
2.852813,-109,-259,-13304
2.868438,-100,-284,-13399
2.884063,-97,-243,-13319
2.899688,-95,-165,-13117
2.915313,-52,-100,-13081
2.930938,-92,-95,-13063
2.946563,-113,-147,-13090
2.962188,-54,-202,-13249
2.977813,-90,-245,-13333
2.993438,-115,-245,-13315
3.009063,-90,-204,-13270
3.024688,-124,-143,-13176
3.040313,-108,-86,-13061
3.055938,-61,-102,-13086
3.071563,-106,-159,-13169
3.087188,-115,-186,-13229
3.102813,-72,-213,-13294
3.118438,-86,-231,-13292
3.134063,-100,-193,-13238
3.149688,-95,-136,-13154
3.165313,-95,-113,-13122
3.180938,-83,-133,-13136
3.196563,-59,-161,-13138
3.212188,-81,-184,-13231
3.227813,-97,-220,-13301
3.243438,-75,-213,-13236
3.259063,-92,-170,-13219
3.274688,-124,-158,-13210
3.290313,-111,-149,-13154
3.305938,-72,-150,-13201
3.321563,-84,-167,-13231
3.337188,-93,-175,-13211
3.352813,-50,-190,-13195
3.368438,-79,-183,-13136
3.384063,-86,-152,-13142
3.399688,-67,-152,-13197
3.415313,-109,-175,-13242
3.430938,-124,-186,-13279
3.446563,-122,-179,-13256
3.462188,-90,-170,-13185
3.477813,-63,-163,-13167
3.493438,-88,-165,-13161
3.509063,-79,-168,-13122
3.524688,-58,-170,-13192
3.540313,-99,-188,-13256
3.555938,-124,-190,-13244
3.571563,-111,-184,-13288
3.587188,-106,-175,-13236
3.602813,-54,-150,-13167
3.618438,-63,-158,-13172
3.634063,-97,-165,-13117
3.649688,-27,-143,-13136
3.665313,-63,-152,-13208
3.680938,-124,-192,-13233
3.696563,-90,-211,-13272
3.712188,-138,-188,-13274
3.727813,-113,-161,-13238
3.743438,-15,-150,-13165
3.759063,-104,-127,-13040
3.774688,-58,-102,-12997
3.790313,133,-183,-13015
3.805938,58,-281,-13190
3.821563,-70,-325,-13517
3.837188,-61,-574,-13661
3.852813,-97,-181,-13486
3.868438,-125,435,-13147
3.884063,19,-25,-12953
3.899688,78,-274,-12960
3.915313,-34,-127,-13161
3.930938,-104,-279,-13372
3.946563,-127,-299,-13370
3.962188,-156,-256,-13385
3.977813,-131,-243,-13294
3.993438,-81,-199,-13106
4.009063,-100,-138,-13074
4.024688,-104,-97,-13033
4.040313,-81,-154,-13117
4.055938,-109,-254,-13360
4.071563,-120,-290,-13426
4.087310,-84,-224,-13249
4.102935,-56,-138,-13040
4.118560,-49,-127,-13019
4.134185,-42,-143,-13108
4.149810,-70,-184,-13247
4.165435,-134,-245,-13361
4.181060,-147,-220,-13244
4.196685,-113,-131,-13074
4.212310,-120,-88,-13081
4.227935,-165,-125,-13183
4.243560,-215,-163,-13278
4.259185,-240,-172,-13347
4.274810,-242,-161,-13322
4.290435,-245,-97,-13169
4.306060,-252,1,-13049
4.321685,-290,57,-13044
4.337310,-317,7,-13063
4.352935,-277,-106,-13190
4.368560,-213,-200,-13379
4.384185,-159,-236,-13392
4.399810,-97,-224,-13283
4.415435,-67,-184,-13151
4.431060,-67,-138,-13026
4.446685,-9,-136,-12999
4.462310,14,-184,-13099
4.477935,-2,-265,-13267
4.493560,19,-309,-13360
4.509185,-20,-304,-13367
4.524810,-65,-281,-13288
4.540435,-17,-188,-13131
4.556060,-33,-100,-13045
4.571685,-97,-117,-13060
4.587310,-86,-149,-13108
4.602935,-81,-200,-13215
4.618560,-108,-256,-13340
4.634185,-129,-234,-13336
4.649810,-133,-190,-13274
4.665435,-127,-142,-13190
4.681060,-67,-111,-13086
4.696685,-17,-167,-13076
4.712310,-59,-197,-13161
4.727935,-75,-199,-13244
4.743560,-54,-247,-13265
4.759185,-93,-227,-13279
4.774810,-129,-154,-13258
4.790435,-108,-134,-13158
4.806060,-83,-140,-13113
4.821685,-77,-149,-13167
4.837310,-79,-181,-13190
4.852935,-65,-222,-13229
4.868560,-67,-233,-13283
4.884185,-79,-206,-13245
4.899810,-74,-177,-13186
4.915435,-100,-165,-13190
4.931060,-115,-165,-13161
4.946685,-72,-163,-13142
4.962310,-88,-186,-13211
4.977935,-106,-233,-13238
4.993560,-49,-218,-13236
5.009185,-67,-183,-13233
5.024810,-97,-167,-13178
5.040435,-75,-138,-13149
5.056060,-90,-154,-13176
5.071685,-102,-188,-13185
5.087188,-72,-192,-13215
5.102813,-81,-217,-13253
5.118438,-117,-224,-13228
5.134063,-93,-179,-13186
5.149688,-88,-149,-13144
5.165313,-111,-142,-13140
5.180938,-117,-145,-13178
5.196563,-120,-184,-13204
5.212188,-102,-233,-13253
5.227813,-67,-242,-13294
5.243438,-56,-206,-13261
5.259063,-70,-172,-13172
5.274688,-52,-158,-13072
5.290313,-40,-147,-13026
5.305938,-67,-161,-13117
5.321563,-97,-197,-13274
5.337188,-120,-224,-13331
5.352813,-118,-242,-13299
5.368438,-106,-243,-13238
5.384063,-93,-181,-13126
5.399688,-74,-136,-13065
5.415313,-68,-163,-13160
5.430938,-104,-186,-13199
5.446563,41,-300,-13249
5.462188,296,-445,-13386
5.477813,319,-424,-13228
5.493438,342,-367,-13040
5.509063,374,-383,-13013
5.524688,324,-424,-13044
5.540313,319,-475,-13238
5.555938,267,-534,-13428
5.571563,219,-565,-13467
5.587188,280,-531,-13328
5.602813,351,-484,-13160
5.618438,348,-434,-13026
5.634063,367,-399,-12938
5.649688,374,-442,-13056
5.665313,337,-520,-13245
5.680938,326,-583,-13329
5.696563,282,-615,-13354
5.712188,233,-608,-13329
5.727813,271,-565,-13229
5.743438,319,-493,-13119
5.759063,291,-467,-13061
5.774688,271,-509,-13072
5.790313,310,-570,-13101
5.805938,307,-636,-13222
5.821563,241,-677,-13349
5.837188,192,-675,-13319
5.852813,214,-688,-13270
5.868438,248,-690,-13211
5.884063,299,-656,-13144
5.899688,296,-647,-13138
5.915313,201,-658,-13167
5.930938,258,-684,-13178
5.946563,328,-727,-13128
5.962188,267,-777,-13194
5.977813,235,-824,-13285
5.993438,187,-824,-13228
6.009063,137,-818,-13208
6.024688,142,-868,-13226
6.040313,153,-909,-13190
6.055938,182,-915,-13194
6.071563,142,-924,-13217
6.087188,112,-922,-13203
6.102813,191,-924,-13183
